#Longitud de onda =  476  nm				Anchura de pulso =  150  nm
 Iteracion  E(x,n) real  E(x,n) imag  E(x+1,n) real  E(x+1,n) imag  B(x,n+1/2) real  B(x,n+1/2) imag  B(x-1,n+1/2) real  B(x-1,n+1/2) imag
    64.0     0.135650     0.171309    1.137466e-01   1.907988e-01    4.224595e-10     6.442240e-10      4.954204e-10       5.737527e-10   
    65.0     0.147015     0.160331    1.266684e-01   1.812672e-01    4.577260e-10     6.079368e-10      5.250788e-10       5.337751e-10   
    66.0     0.157507     0.148779    1.387880e-01   1.710383e-01    4.901715e-10     5.693552e-10      5.516860e-10       4.919280e-10   
    67.0     0.167090     0.136717    1.500602e-01   1.601739e-01    5.196883e-10     5.286989e-10      5.751661e-10       4.484401e-10   
    68.0     0.175732     0.124215    1.604448e-01   1.487379e-01    5.461850e-10     4.861942e-10      5.954596e-10       4.035438e-10   
    69.0     0.183408     0.111340    1.699064e-01   1.367958e-01    5.695867e-10     4.420726e-10      6.125239e-10       3.574748e-10   
    70.0     0.190097     0.098161    1.784145e-01   1.244144e-01    5.898347e-10     3.965697e-10      6.263329e-10       3.104705e-10   
    71.0     0.195782     0.084749    1.859438e-01   1.116616e-01    6.068871e-10     3.499238e-10      6.368770e-10       2.627687e-10   
    72.0     0.200454     0.071172    1.924739e-01   9.860581e-02    6.207184e-10     3.023749e-10      6.441631e-10       2.146069e-10   
    73.0     0.204106     0.057500    1.979899e-01   8.531584e-02    6.313192e-10     2.541635e-10      6.482136e-10       1.662208e-10   
    74.0     0.206738     0.043801    2.024815e-01   7.186031e-02    6.386964e-10     2.055294e-10      6.490668e-10       1.178432e-10   
    75.0     0.208353     0.030141    2.059439e-01   5.830748e-02    6.428724e-10     1.567104e-10      6.467759e-10       6.970308e-11   
    76.0     0.208961     0.016588    2.083770e-01   4.472485e-02    6.438852e-10     1.079416e-10      6.414087e-10       2.202476e-11   
    77.0     0.208576     0.003204    2.097859e-01   3.117885e-02    6.417873e-10     5.945379e-11      6.330468e-10      -2.497331e-11   
    78.0     0.207214    -0.009948    2.101803e-01   1.773457e-02    6.366459e-10     1.147300e-11      6.217853e-10      -7.107900e-11   
    79.0     0.204899    -0.022808    2.095748e-01   4.455408e-03    6.285417e-10    -3.578073e-11      6.077314e-10      -1.160868e-10   
    80.0     0.201657    -0.035317    2.079883e-01  -8.597119e-03    6.175684e-10    -8.209382e-11      5.910039e-10      -1.597975e-10   
    81.0     0.197519    -0.047422    2.054443e-01  -2.136362e-02    6.038322e-10    -1.272594e-10      5.717316e-10      -2.020161e-10   
    82.0     0.192519    -0.059067    2.019704e-01  -3.378689e-02    5.874499e-10    -1.710766e-10      5.500519e-10      -2.425478e-10   
    83.0     0.186693    -0.070201    1.975980e-01  -4.581189e-02    5.685487e-10    -2.133488e-10      5.261080e-10      -2.811896e-10   
    84.0     0.180082    -0.080769    1.923621e-01  -5.738523e-02    5.472637e-10    -2.538785e-10      5.000461e-10      -3.177154e-10   
    85.0     0.172726    -0.090713    1.863008e-01  -6.845422e-02    5.237356e-10    -2.924588e-10      4.720105e-10      -3.518518e-10   
    86.0     0.164669    -0.099965    1.794548e-01  -7.896475e-02    4.981075e-10    -3.288579e-10      4.421376e-10      -3.832407e-10   
    87.0     0.155950    -0.108437    1.718664e-01  -8.885767e-02    4.705202e-10    -3.627934e-10      4.105490e-10      -4.113864e-10   
    88.0     0.146608    -0.116006    1.635782e-01  -9.806256e-02    4.411061e-10    -3.938946e-10      3.773437e-10      -4.355872e-10   
    89.0     0.136675    -0.122501    1.546319e-01  -1.064882e-01    4.099826e-10    -4.216491e-10      3.425940e-10      -4.548580e-10   
    90.0     0.126178    -0.127674    1.450657e-01  -1.140089e-01    3.772445e-10    -4.453348e-10      3.063466e-10      -4.678585e-10   
    91.0     0.115133    -0.131183    1.349132e-01  -1.204459e-01    3.429610e-10    -4.639449e-10      2.686375e-10      -4.728551e-10   
    92.0     0.103555    -0.132571    1.242005e-01  -1.255462e-01    3.071778e-10    -4.761207e-10      2.295270e-10      -4.677590e-10   
    93.0     0.091459    -0.131268    1.129471e-01  -1.289604e-01    2.699338e-10    -4.801212e-10      1.891613e-10      -4.502882e-10   
    94.0     0.078877    -0.126621    1.011681e-01  -1.302280e-01    2.312972e-10    -4.738698e-10      1.478640e-10      -4.183030e-10   
    95.0     0.065880    -0.117965    8.888216e-02  -1.287791e-01    1.914283e-10    -4.551265e-10      1.062490e-10      -3.703330e-10   
    96.0     0.052611    -0.104756    7.612627e-02  -1.239671e-01    1.506701e-10    -4.218295e-10      6.533617e-11      -3.062684e-10   
    97.0     0.039318    -0.086755    6.297905e-02  -1.151451e-01    1.096592e-10    -3.726217e-10      2.663049e-11      -2.281021e-10   
    98.0     0.026384    -0.064242    4.959097e-02  -1.017970e-01    6.943542e-11    -3.075291e-10     -7.884921e-12      -1.405245e-10   
    99.0     0.014339    -0.038226    3.621801e-02  -8.371966e-02    3.151383e-11    -2.286779e-10     -3.589612e-11      -5.109944e-11   
   100.0     0.003838    -0.010564    2.324952e-02  -6.123473e-02   -2.130810e-12    -1.408525e-10     -5.508140e-11       3.025459e-11   
   101.0    -0.004410     0.016091    1.121743e-02  -3.538434e-02   -2.921750e-11    -5.163332e-11     -6.360253e-11       9.265670e-11   
   102.0    -0.009767     0.038568    7.715256e-04  -8.040004e-03   -4.748278e-11     2.914955e-11     -6.069056e-11       1.264787e-10   
   103.0    -0.011824     0.053729   -7.392089e-03   1.815490e-02   -5.516458e-11     9.080898e-11     -4.717891e-11       1.260104e-10   
   104.0    -0.010580     0.059213   -1.265307e-02   4.007522e-02   -5.157166e-11     1.239794e-10     -2.578441e-11       9.186722e-11   
   105.0    -0.006563     0.054211   -1.462710e-02   5.465442e-02   -3.759468e-11     1.232102e-10     -9.402824e-13       3.223262e-11   
   106.0    -0.000853     0.040038   -1.333157e-02   5.961206e-02   -1.596651e-11     8.928413e-11      2.192905e-11      -3.788576e-11   
   107.0     0.005050     0.020228   -9.305536e-03   5.420866e-02    8.915351e-12     3.038768e-11      3.763247e-11      -9.974675e-11   
   108.0     0.009524    -0.000044   -3.625773e-03   3.978960e-02    3.170638e-11    -3.865323e-11      4.266319e-11      -1.358799e-10   
   109.0     0.011230    -0.015189    2.226456e-03   1.986220e-02    4.731237e-11    -9.940618e-11      3.642285e-11      -1.356765e-10   
   110.0     0.009534    -0.020839    6.655887e-03  -4.710099e-04    5.230088e-11    -1.347096e-10      2.171279e-11      -9.961365e-11   
   111.0     0.004769    -0.015372    8.352930e-03  -1.571674e-02    4.608921e-11    -1.341124e-10      4.135419e-12      -4.018202e-11   
   112.0    -0.001766    -0.000740    6.695926e-03  -2.157867e-02    3.142201e-11    -9.799388e-11     -9.599504e-12       2.152188e-11   
   113.0    -0.008157     0.017878    2.013842e-03  -1.644583e-02    1.379423e-11    -3.850257e-11     -1.401231e-11       6.297920e-11   
   114.0    -0.012488     0.033686   -4.420565e-03  -2.202655e-03   -1.888838e-13     2.370184e-11     -7.004724e-12       6.888117e-11   
   115.0    -0.013550     0.040724   -1.072528e-02   1.609453e-02   -5.084634e-12     6.639107e-11      9.099434e-12       3.776846e-11   
   116.0    -0.011340     0.036265   -1.501072e-02   3.176963e-02    1.277055e-12     7.418333e-11      2.823603e-11      -1.651486e-11   
   117.0    -0.007141     0.022137   -1.606254e-02   3.890366e-02    1.674073e-11     4.512202e-11      4.294508e-11      -6.991061e-11   
   118.0    -0.003059     0.004217   -1.384395e-02   3.469040e-02    3.543422e-11    -7.695464e-12      4.753615e-11      -9.827229e-11   
   119.0    -0.001174    -0.009892   -9.580924e-03   2.076765e-02    5.000634e-11    -6.083708e-11      4.071144e-11      -8.836433e-11   
   120.0    -0.002621    -0.014181   -5.333368e-03   2.799051e-03    5.470676e-11    -9.026699e-11      2.634583e-11      -4.454464e-11   
   121.0    -0.007039    -0.007058   -3.171034e-03  -1.173775e-02    4.800186e-11    -8.215596e-11      1.185588e-11       1.259558e-11   
   122.0    -0.012670     0.007702   -4.274778e-03  -1.676537e-02    3.345061e-11    -3.974789e-11      4.731755e-12       5.572497e-11   
   123.0    -0.017144     0.022574   -8.368101e-03  -1.043395e-02    1.824002e-11     1.746393e-11      8.819332e-12       6.426981e-11   
   124.0    -0.018611     0.029866   -1.378239e-02   3.833306e-03    9.870164e-12     6.258461e-11      2.224934e-11       3.520719e-11   
   125.0    -0.016683     0.025601   -1.818827e-02   1.876592e-02    1.247917e-11     7.443144e-11      3.823472e-11      -1.480483e-11   
   126.0    -0.012671     0.011700   -1.969556e-02   2.666313e-02    2.465470e-11     4.849663e-11      4.852401e-11      -5.776465e-11   
   127.0    -0.008953    -0.004853   -1.780108e-02   2.323657e-02    3.999132e-11    -1.896381e-13      4.781380e-11      -6.927821e-11   
   128.0    -0.007734    -0.015615   -1.368501e-02   9.917763e-03    5.030584e-11    -4.444500e-11      3.673409e-11      -4.218729e-11   
   129.0    -0.009848    -0.015264   -9.649896e-03  -6.710682e-03    4.996212e-11    -5.926952e-11      2.163083e-11       8.969763e-12   
   130.0    -0.014262    -0.004634   -7.937992e-03  -1.826601e-02    3.900180e-11    -3.564116e-11      1.107911e-11       5.579461e-11   
   131.0    -0.018611     0.009610   -9.525577e-03  -1.905642e-02    2.325403e-11     1.404482e-11      1.097222e-11       7.226395e-11   
   132.0    -0.020524     0.018679   -1.355816e-02  -9.285777e-03    1.117964e-11     6.251501e-11      2.101245e-11       5.015267e-11   
   133.0    -0.018993     0.016753   -1.778339e-02   4.921800e-03    9.083494e-12     8.302208e-11      3.477820e-11       4.296565e-12   
   134.0    -0.014990     0.004490   -1.979393e-02   1.488036e-02    1.740968e-11     6.501260e-11      4.350014e-11      -3.601931e-11   
   135.0    -0.010926    -0.011249   -1.840645e-02   1.431596e-02    3.037545e-11     2.070275e-11      4.139371e-11      -4.485910e-11   
   136.0    -0.009209    -0.021462   -1.437464e-02   3.101578e-03    3.932802e-11    -2.187149e-11      2.929310e-11      -1.587181e-11   
   137.0    -0.010773    -0.020527   -9.978056e-03  -1.254829e-02    3.795077e-11    -3.570068e-11      1.422365e-11       3.339917e-11   
   138.0    -0.014469    -0.009763   -7.680749e-03  -2.371321e-02    2.618540e-11    -1.152131e-11      5.023096e-12       7.237772e-11   
   139.0    -0.017765     0.003307   -8.636802e-03  -2.417406e-02    1.036328e-11     3.610956e-11      6.686783e-12       7.702729e-11   
   140.0    -0.018338     0.009681   -1.196070e-02  -1.430476e-02   -6.903594e-13     7.768226e-11      1.707902e-11       4.562545e-11   
   141.0    -0.015570     0.004687   -1.525133e-02  -9.343488e-04   -1.242768e-12     8.742535e-11      2.826066e-11       1.617638e-13   
   142.0    -0.010974    -0.008907   -1.608765e-02   6.894694e-03    7.620293e-12     6.003759e-11      3.170262e-11      -2.805924e-11   
   143.0    -0.007223    -0.022630   -1.357466e-02   3.698432e-03    1.862995e-11     1.440360e-11      2.400352e-11      -1.939787e-11   
   144.0    -0.006386    -0.027896   -8.940739e-03  -8.845369e-03    2.305873e-11    -1.861524e-11      9.246249e-12       2.065172e-11   
   145.0    -0.008537    -0.021779   -4.762268e-03  -2.290742e-02    1.651580e-11    -1.665896e-11     -3.718961e-12       6.498589e-11   
   146.0    -0.011689    -0.009060   -3.282473e-03  -2.961503e-02    1.944635e-12     1.896739e-11     -7.329480e-12       8.344610e-11   
   147.0    -0.013134     0.000984   -4.917403e-03  -2.496720e-02   -1.229680e-11     6.394716e-11     -5.730372e-13       6.383538e-11   
   148.0    -0.011308     0.000966   -7.961219e-03  -1.258088e-02   -1.809713e-11     8.742815e-11      1.026035e-11       2.064209e-11   
   149.0    -0.006890    -0.009437   -9.726249e-03  -1.300543e-03   -1.318169e-11     7.332526e-11      1.598133e-11      -1.503598e-11   
   150.0    -0.002347    -0.023202   -8.376243e-03   8.295182e-04   -2.732145e-12     3.167291e-11      1.103797e-11      -1.760350e-11   
   151.0    -0.000202    -0.030878   -4.203470e-03  -7.854546e-03    4.202877e-12    -8.232420e-12     -2.466896e-12       1.455962e-11   
   152.0    -0.001241    -0.027327    5.554248e-04  -2.142015e-02    1.088706e-12    -1.847132e-11     -1.624387e-11       5.776886e-11   
