#Longitud de onda =  618  nm				Anchura de pulso =  150  nm
 Iteracion   E(x,n) real  E(x,n) imag  E(x+1,n) real  E(x+1,n) imag  B(x,n+1/2) real  B(x,n+1/2) imag  B(x-1,n+1/2) real  B(x-1,n+1/2) imag
   136.0    9.038489e-03  -0.018666    8.819291e-03     0.008494     -2.809078e-11    -3.154090e-11     -3.478911e-11      -1.408152e-11   
   137.0    7.995046e-03  -0.015946    9.739392e-03    -0.006266     -3.111417e-11    -4.831830e-11     -3.941496e-11       3.354822e-11   
   138.0    6.701977e-03  -0.003193    9.651804e-03    -0.016190     -3.622696e-11    -2.579095e-11     -4.091758e-11       6.981522e-11   
   139.0    5.971287e-03   0.011700    8.595905e-03    -0.014986     -4.077608e-11     2.046293e-11     -3.904339e-11       7.026199e-11   
   140.0    6.241199e-03   0.019458    7.187333e-03    -0.003229     -4.241597e-11     5.978541e-11     -3.566167e-11       3.373271e-11   
   141.0    7.293361e-03   0.015399    6.241771e-03     0.011892     -4.059330e-11     6.586495e-11     -3.355491e-11      -1.658079e-11   
   142.0    8.389778e-03   0.002556    6.265622e-03     0.021039     -3.691160e-11     3.382988e-11     -3.458606e-11      -4.831669e-11   
   143.0    8.752044e-03  -0.010240    7.132973e-03     0.018680     -3.410535e-11    -1.629652e-11     -3.844993e-11      -4.162277e-11   
   144.0    8.075259e-03  -0.014186    8.162282e-03     0.006724     -3.425618e-11    -5.253761e-11     -4.286614e-11      -2.768463e-12   
   145.0    6.734028e-03  -0.006433    8.554827e-03    -0.006643     -3.741208e-11    -5.217398e-11     -4.511805e-11       3.990695e-11   
   146.0    5.533617e-03   0.007911    7.917396e-03    -0.012297     -4.154377e-11    -1.714824e-11     -4.391251e-11       5.540227e-11   
   147.0    5.164623e-03   0.019213    6.524974e-03    -0.006268     -4.390160e-11     2.701647e-11     -4.027878e-11       3.166542e-11   
   148.0    5.728973e-03   0.019937    5.140805e-03     0.007533     -4.288216e-11     4.851632e-11     -3.685749e-11      -1.577018e-11   
   149.0    6.667476e-03   0.009923    4.504379e-03     0.019896     -3.913297e-11     3.123124e-11     -3.604678e-11      -5.458604e-11   
