#Longitud de onda =  497  nm				Anchura de pulso =  125  nm
 Iteracion  E(x,n) real   E(x,n) imag  E(x+1,n) real  E(x+1,n) imag  B(x,n+1/2) real  B(x,n+1/2) imag  B(x-1,n+1/2) real  B(x-1,n+1/2) imag
   148.0    -0.006513   -1.151437e-02    0.000508    -1.322201e-02   -3.164964e-11     3.280278e-11      4.409134e-12       2.901439e-11   
   149.0    -0.000896   -1.210452e-02   -0.003980    -1.194531e-02   -2.630412e-11     3.252684e-11      1.878046e-11       2.505096e-11   
   150.0     0.006127   -1.326909e-02   -0.004059    -1.120418e-02   -8.647929e-12     2.894784e-11      1.734544e-11       2.328535e-11   
   151.0     0.010176   -1.415117e-02    0.000873    -1.143392e-02    7.476868e-12     2.423816e-11     -7.291166e-14       2.484506e-11   
   152.0     0.009000   -1.405663e-02    0.007921    -1.234971e-02    9.347247e-12     2.127964e-11     -2.205436e-11       2.834622e-11   
   153.0     0.004109   -1.295582e-02    0.012695    -1.314314e-02   -5.535392e-12     2.160432e-11     -3.384641e-11       3.089538e-11   
   154.0    -0.000302   -1.150849e-02    0.012413    -1.305427e-02   -2.757220e-11     2.428354e-11     -2.818881e-11       3.021679e-11   
   155.0    -0.000398   -1.058423e-02    0.007894    -1.191680e-02   -4.194411e-11     2.659323e-11     -1.072307e-11       2.634526e-11   
   156.0     0.004466   -1.062285e-02    0.002995    -1.028189e-02   -3.939442e-11     2.600226e-11      4.152470e-12       2.161097e-11   
   157.0     0.011250   -1.130691e-02    0.001825    -9.021880e-03   -2.305859e-11     2.204172e-11      4.044957e-12       1.889870e-11   
   158.0     0.015472   -1.179652e-02    0.005748    -8.694463e-03   -6.204379e-12     1.666508e-11     -1.206684e-11       1.947103e-11   
   159.0     0.014558   -1.135942e-02    0.012362    -9.131672e-03   -2.397019e-12     1.280383e-11     -3.300360e-11       2.200580e-11   
   160.0     0.009791   -9.925968e-03    0.017253    -9.562810e-03   -1.533097e-11     1.217439e-11     -4.386705e-11       2.360350e-11   
   161.0     0.005345   -8.145578e-03    0.017268    -9.188676e-03   -3.599622e-11     1.398234e-11     -3.746016e-11       2.201748e-11   
   162.0     0.005117   -6.893889e-03    0.012881    -7.783112e-03   -4.945309e-11     1.552358e-11     -1.986522e-11       1.739776e-11   
   163.0     0.009726   -6.601936e-03    0.007849    -5.867632e-03   -4.619870e-11     1.425085e-11     -5.760628e-12       1.218464e-11   
   164.0     0.016026   -6.923803e-03    0.006375    -4.319822e-03   -2.947109e-11     9.737498e-12     -6.988873e-12       9.211206e-12   
   165.0     0.019528   -7.005787e-03    0.009905    -3.706418e-03   -1.279293e-11     4.018867e-12     -2.325651e-11       9.483788e-12   
   166.0     0.017898   -6.154480e-03    0.016009    -3.849691e-03   -9.519189e-12     2.409195e-14     -4.232978e-11       1.138996e-11   
   167.0     0.012787   -4.383942e-03    0.020235    -3.965374e-03   -2.242807e-11    -7.013914e-13     -4.969098e-11       1.197937e-11   
   168.0     0.008540   -2.408575e-03    0.019551    -3.272628e-03   -4.151353e-11     7.962280e-13     -4.008227e-11       9.319475e-12   
   169.0     0.008763   -1.080851e-03    0.014712    -1.605980e-03   -5.182460e-11     1.706408e-12     -2.172509e-11       4.050647e-12   
   170.0     0.013452   -7.156732e-04    0.009673     4.507401e-04   -4.527446e-11    -3.152777e-13     -9.741587e-12      -1.118981e-12   
   171.0     0.018987   -8.408714e-04    0.008489     2.019791e-03   -2.707972e-11    -5.273520e-12     -1.396851e-11      -3.591699e-12   
   172.0     0.021029   -5.788829e-04    0.012113     2.620439e-03   -1.162502e-11    -1.081874e-11     -3.097995e-11      -2.980197e-12   
   173.0     0.018014    6.421805e-04    0.017625     2.548454e-03   -1.095046e-11    -1.412279e-11     -4.685391e-11      -1.417441e-12   
   174.0     0.012421    2.621379e-03    0.020559     2.637593e-03   -2.505519e-11    -1.415090e-11     -4.852811e-11      -1.806675e-12   
   175.0     0.008765    4.544321e-03    0.018472     3.588085e-03   -4.188026e-11    -1.249350e-11     -3.451135e-11      -5.430836e-12   
   176.0     0.009913    5.644520e-03    0.012914     5.398959e-03   -4.708305e-11    -1.206788e-11     -1.612337e-11      -1.088708e-11   
   177.0     0.014735    5.828462e-03    0.008184     7.364669e-03   -3.572808e-11    -1.473051e-11     -8.154142e-12      -1.523911e-11   
   178.0     0.019031    5.749233e-03    0.007845     8.644050e-03   -1.634035e-11    -1.974795e-11     -1.660213e-11      -1.644764e-11   
   179.0     0.018990    6.263345e-03    0.011824     8.942656e-03   -3.919906e-12    -2.439187e-11     -3.367763e-11      -1.506262e-11   
   180.0     0.014355    7.716625e-03    0.016468     8.750647e-03   -7.582577e-12    -2.618409e-11     -4.430492e-11      -1.375614e-11   
   181.0     0.008634    9.652610e-03    0.017538     8.936936e-03   -2.301483e-11    -2.494364e-11     -3.875946e-11      -1.507289e-11   
   182.0     0.006181    1.119024e-02    0.013703     1.002924e-02   -3.605254e-11    -2.293134e-11     -2.085261e-11      -1.928064e-11   
   183.0     0.008549    1.175894e-02    0.007647     1.177382e-02   -3.448812e-11    -2.295714e-11     -4.722462e-12      -2.413816e-11   
   184.0     0.013186    1.157496e-02    0.003840     1.334292e-02   -1.828910e-11    -2.602146e-11     -2.869504e-12      -2.678927e-11   
   185.0     0.015588    1.145536e-02    0.004826     1.402173e-02    3.634278e-13    -3.046962e-11     -1.554400e-11      -2.618557e-11   
   186.0     0.013110    1.212271e-02    0.009095     1.380336e-02    7.322316e-12    -3.338260e-11     -3.053875e-11      -2.397395e-11   
   187.0     0.007212    1.358836e-02    0.012349     1.339171e-02   -1.581007e-12    -3.304176e-11     -3.362932e-11      -2.308086e-11   
   188.0     0.002220    1.514003e-02    0.011121     1.360589e-02   -1.700998e-11    -3.038269e-11     -2.077405e-11      -2.519558e-11   
   189.0     0.001633    1.594807e-02    0.005706     1.468561e-02   -2.406813e-11    -2.819455e-11     -1.592254e-12      -2.931299e-11   
   190.0     0.005135    1.577384e-02   -0.000091     1.608595e-02   -1.501067e-11    -2.873552e-11      8.927720e-12      -3.259907e-11   
   191.0     0.008864    1.517199e-02   -0.002176     1.693873e-02    4.124176e-12    -3.179771e-11      3.383255e-12      -3.284144e-11   
   192.0     0.008748    1.500940e-02    0.000345     1.679100e-02    1.868961e-11    -3.488567e-11     -1.163562e-11      -3.036554e-11   
   193.0     0.004024    1.571353e-02    0.004408     1.599047e-02    1.802468e-11    -3.536567e-11     -2.129135e-11      -2.774638e-11   
